x,y
22901.00,1.648438
22902.00,1.648438
22903.00,1.652344
22906.00,1.652344
22907.00,1.660156
22908.00,1.65625
22909.00,1.667969
22910.00,1.65625
22913.00,1.632813
22914.00,1.617188
22915.00,1.59375
22916.00,1.59375
22917.00,1.609375
22920.00,1.601563
22921.00,1.59375
22922.00,1.609375
22923.00,1.621094
22924.00,1.636719
22927.00,1.640625
22928.00,1.652344
22929.00,1.648438
22930.00,1.644531
22931.00,1.632813
22934.00,1.648438
22935.00,1.652344
22936.00,1.648438
22937.00,1.632813
22938.00,1.617188
22941.00,1.582031
22942.00,1.519531
22943.00,1.601563
22944.00,1.570313
22945.00,1.570313
22948.00,1.601563
22949.00,1.597656
22950.00,1.617188
22951.00,1.644531
22952.00,1.675781
22955.00,1.691406
22957.00,1.683594
22958.00,1.675781
22959.00,1.679688
22962.00,1.6875
22963.00,1.679688
22964.00,1.695313
22965.00,1.695313
22966.00,1.703125
22969.00,1.707031
22970.00,1.71875
22971.00,1.71875
22973.00,1.753906
22976.00,1.746094
22977.00,1.742188
22978.00,1.75
22979.00,1.777344
22980.00,1.761719
22983.00,1.757813
22984.00,1.777344
22985.00,1.800781
22986.00,1.792969
22987.00,1.8125
22990.00,1.773438
22991.00,1.792969
22992.00,1.8125
22993.00,1.8125
22994.00,1.804688
22997.00,1.804688
22998.00,1.804688
22999.00,1.820313
23000.00,1.828125
23001.00,1.847656
23004.00,1.839844
23006.00,1.863281
23007.00,1.855469
23008.00,1.847656
23011.00,1.859375
23013.00,1.832031
23014.00,1.847656
23015.00,1.855469
23018.00,1.855469
23019.00,1.867188
23020.00,1.855469
23021.00,1.847656
23022.00,1.851563
23025.00,1.855469
23026.00,1.859375
23027.00,1.855469
23028.00,1.859375
23029.00,1.855469
23032.00,1.847656
23033.00,1.847656
23034.00,1.855469
23035.00,1.859375
23036.00,1.863281
23039.00,1.875
23040.00,1.875
23041.00,1.871094
23042.00,1.871094
23043.00,1.875
23046.00,1.875
23047.00,1.890625
23048.00,1.890625
23049.00,1.886719
23050.00,1.875
23053.00,1.867188
23054.00,1.867188
23055.00,1.871094
23056.00,1.867188
23057.00,1.867188
23060.00,1.875
23061.00,1.871094
23062.00,1.871094
23063.00,1.871094
23067.00,1.871094
23068.00,1.875
23069.00,1.871094
23070.00,1.863281
23071.00,1.855469
23074.00,1.871094
23075.00,1.875
23076.00,1.890625
23077.00,1.914063
23078.00,1.933594
23081.00,1.960938
23082.00,1.957031
23083.00,1.957031
23084.00,1.945313
23085.00,1.984375
23088.00,1.964844
23089.00,1.96875
23090.00,1.992188
